date,POWER
1/1/2021,8008.808285731473
1/2/2021,8011.831948791527
1/3/2021,7878.5479399553815
1/4/2021,7921.248135437875
1/5/2021,7250.532101324372
1/6/2021,0.0
1/7/2021,6581.398262945126
1/8/2021,9648.05052224761
1/9/2021,9666.29194276407
1/10/2021,9659.199586128125
1/11/2021,9654.30916294951
1/12/2021,9655.335104122874
1/13/2021,9641.358597865397
1/14/2021,9642.53325833477
1/15/2021,9675.9831136055
1/16/2021,9673.70437884008
1/17/2021,9625.60678275795
1/18/2021,9585.790409803441
1/19/2021,9517.891838318641
1/20/2021,9476.904356400335
1/21/2021,9474.573680865864
1/22/2021,9501.36757074834
1/23/2021,9479.305174169938
1/24/2021,9395.191760038175
1/25/2021,9373.207496582454
1/26/2021,9426.25722325259
1/27/2021,9479.541349290765
1/28/2021,9510.680950184087
1/29/2021,9477.295909890126
1/30/2021,9418.703170891722
1/31/2021,9378.92630843675
2/1/2021,9331.334801899247
2/2/2021,9368.048490794628
2/3/2021,9407.02670843312
2/4/2021,9363.796006805162
2/5/2021,9356.875454251473
2/6/2021,8929.696368085912
2/7/2021,0.0
2/8/2021,5183.443095594324
2/9/2021,0.0
2/10/2021,0.0
2/11/2021,0.0
2/12/2021,0.0
2/13/2021,0.0
2/14/2021,0.0
2/15/2021,0.0
2/16/2021,0.0
2/17/2021,0.0
2/18/2021,0.0
2/19/2021,0.0
2/20/2021,0.0
2/21/2021,0.0
2/22/2021,0.0
2/23/2021,0.0
2/24/2021,0.0
2/25/2021,5737.051118926403
2/26/2021,9686.38991282056
2/27/2021,9646.58597013557
2/28/2021,9550.835160106544
3/1/2021,9493.46991022296
3/2/2021,9504.737505602086
3/3/2021,9518.669174101662
3/4/2021,9603.1164297576
3/5/2021,9610.860043728604
3/6/2021,9606.6284248344
3/7/2021,9608.94134284099
3/8/2021,9589.447128732478
3/9/2021,9597.426473886113
3/10/2021,9644.735635730296
3/11/2021,9628.221578738528
3/12/2021,9620.059774985908
3/13/2021,9599.31498697633
3/14/2021,9537.094385031696
3/15/2021,7826.9276942797205
3/16/2021,0.0
3/17/2021,0.0
3/18/2021,0.0
3/19/2021,0.0
3/20/2021,0.0
3/21/2021,0.0
3/22/2021,0.0
3/23/2021,8395.552149095849
3/24/2021,9689.478834795578
3/25/2021,9656.912416536965
3/26/2021,9612.648226786292
3/27/2021,9570.587746245736
3/28/2021,9614.33829950243
3/29/2021,9666.12369018739
3/30/2021,9639.754205221288
3/31/2021,8959.360318412266
4/1/2021,0.0
4/2/2021,0.0
4/3/2021,9618.983224858082
4/4/2021,9632.985923469183
4/5/2021,9621.258408117923
4/6/2021,9569.100109347448
4/7/2021,9548.36686373099
4/8/2021,9559.331249321534
4/9/2021,9564.19326045554
4/10/2021,8806.559010681362
4/11/2021,8926.490246426874
4/12/2021,9546.10810618444
4/13/2021,9561.131862648737
4/14/2021,9585.23371130435
4/15/2021,9623.919373670993
4/16/2021,9664.550817155272
4/17/2021,9663.051193925661
4/18/2021,9608.845896128625
4/19/2021,9609.813681398176
4/20/2021,9629.746950383564
4/21/2021,8574.885423172973
4/22/2021,4900.578106708617
4/23/2021,5991.013955431881
4/24/2021,0.0
4/25/2021,0.0
4/26/2021,0.0
4/27/2021,0.0
4/28/2021,0.0
4/29/2021,0.0
4/30/2021,0.0
5/1/2021,0.0
5/2/2021,0.0
5/3/2021,0.0
5/4/2021,0.0
5/5/2021,0.0
5/6/2021,0.0
5/7/2021,6384.831751997023
5/8/2021,9668.496983788777
5/9/2021,9699.050142323806
5/10/2021,9706.934484703273
5/11/2021,5981.524110562811
5/12/2021,0.0
5/13/2021,0.0
5/14/2021,0.0
5/15/2021,4818.768509850404
5/16/2021,7931.984336795142
5/17/2021,7928.993969099866
5/18/2021,4874.741125609866
5/19/2021,0.0
5/20/2021,5140.31805125726
5/21/2021,9164.410044367645
5/22/2021,9151.748039111611
5/23/2021,9151.541163911788
5/24/2021,9136.037954194686
5/25/2021,9186.99406832757
5/26/2021,9243.91404819952
5/27/2021,9266.821259166893
5/28/2021,9265.756251432187
5/29/2021,9231.421627334756
5/30/2021,9230.367718054978
5/31/2021,9214.084064987474
6/1/2021,9252.407917723525
6/2/2021,9286.328791421316
6/3/2021,9274.44900526847
6/4/2021,9256.304363278965
6/5/2021,9237.36595979315
6/6/2021,9231.183232522944
6/7/2021,9188.881693541392
6/8/2021,9126.551438862092
6/9/2021,9124.008116931238
6/10/2021,9117.8000851838
6/11/2021,9113.359815336986
6/12/2021,9191.305596097243
6/13/2021,9216.563015879758
6/14/2021,9242.212877028454
6/15/2021,9223.917296051957
6/16/2021,9181.295677630338
6/17/2021,9144.315625816733
6/18/2021,9131.574599561623
6/19/2021,6536.996896291566
6/20/2021,0.0
6/21/2021,0.0
6/22/2021,8392.422384806701
6/23/2021,9674.02889766212
6/24/2021,9619.800071140638
6/25/2021,9580.149287133627
6/26/2021,9609.1348998949
6/27/2021,9627.060680353263
6/28/2021,9594.716675131367
6/29/2021,9603.597214824997
6/30/2021,9587.61100034951
7/1/2021,9592.207536441685
7/2/2021,9599.457047199383
7/3/2021,9614.770251368152
7/4/2021,9587.866708751008
7/5/2021,9572.12998754226
7/6/2021,9540.04302253645
7/7/2021,9588.881551469445
7/8/2021,9633.704215471997
7/9/2021,0.0
7/10/2021,7128.725226696355
7/11/2021,7627.921742938872
7/12/2021,7693.207294195883
7/13/2021,7757.692424883627
7/14/2021,7765.125282116703
7/15/2021,7670.998398012458
7/16/2021,7664.003707779862
7/17/2021,7612.348390986635
7/18/2021,7644.309721482681
7/19/2021,7718.910871866423
7/20/2021,7641.655858940763
7/21/2021,7478.756732979939
7/22/2021,7467.878027461423
7/23/2021,7448.47393280691
7/24/2021,7465.299634413002
7/25/2021,7524.322105586143
7/26/2021,7616.454819309275
7/27/2021,7730.294335114976
7/28/2021,7887.58785346175
7/29/2021,7882.142063598634
7/30/2021,7864.9088267276575
7/31/2021,7843.605120528001
8/1/2021,7831.896250581016
8/2/2021,7664.0281243807
8/3/2021,6377.15828026115
8/4/2021,0.0
8/5/2021,0.0
8/6/2021,0.0
8/7/2021,7857.669970486689
8/8/2021,8198.858671823393
8/9/2021,8170.070167621606
8/10/2021,8156.780877693151
8/11/2021,8205.316196837566
8/12/2021,8217.73226033244
8/13/2021,8198.40407910962
8/14/2021,8130.365223154555
8/15/2021,8194.388214179178
8/16/2021,8294.262766120526
8/17/2021,8343.832905202245
8/18/2021,8313.542558079867
8/19/2021,8332.754427495061
8/20/2021,5915.359783644755
8/21/2021,0.0
8/22/2021,0.0
8/23/2021,0.0
8/24/2021,6466.938121539959
8/25/2021,6831.672416971381
8/26/2021,6937.418051568611
8/27/2021,7170.353755371189
8/28/2021,7246.034563450138
8/29/2021,5452.163547614973
8/30/2021,0.0
8/31/2021,0.0
9/1/2021,8267.27087980217
9/2/2021,8774.38237015975
