,date,T_AMB,P_AMB,CMP_SPEED,CDP,GGDP,HPT_IT,CDT,LPT_IT,EXH_T,RH,WAR,POWER,FILE_ID,CUSTOMER_NAME,PLANT_NAME,LATITUDE,LONGITUDE,ELEVATION,ENGINE_ID
0,2021-01-01,17.309506255383155,0.9485787150017752,0.0,0.9485787150017752,0.9485787150017752,,17.309506255383155,,,54.263836660211005,6.996695005489115e-05,,data_011.csv,FERVENT,PERFECT-MACKEREL,-23.06755713,130.9621378,567.6251221,ENGINE_1
1,2021-01-02,18.011018123695564,0.9483242276696578,0.0,0.9483242276696578,0.9483242276696578,,18.011018123695564,,,51.75130597984077,6.959654658669241e-05,,data_011.csv,FERVENT,PERFECT-MACKEREL,-23.06755713,130.9621378,567.6251221,ENGINE_1
2,2021-01-03,25.274782419863808,0.9485933371733548,0.0,0.9485933371733548,0.9485933371733548,,25.274782419863808,,,33.529121588072016,7.000483878764049e-05,,data_011.csv,FERVENT,PERFECT-MACKEREL,-23.06755713,130.9621378,567.6251221,ENGINE_1
3,2021-01-04,31.27488421796681,0.9490563411022692,2116.695579666888,2.517861948758697,1.3663693760558455,1189.7257746911907,114.0117175065638,858.7784415368027,602.7016677163107,23.330789110979342,6.964810286969092e-05,10723.120355000568,data_011.csv,FERVENT,PERFECT-MACKEREL,-23.06755713,130.9621378,567.6251221,ENGINE_1
4,2021-01-05,30.534874843258905,0.9491339468460458,0.0,0.9491339468460458,0.9491339468460458,,30.534874843258905,,,24.37568423978506,6.966534421244279e-05,,data_011.csv,FERVENT,PERFECT-MACKEREL,-23.06755713,130.9621378,567.6251221,ENGINE_1
5,2021-01-06,23.48396244332375,0.94889988849777,0.0,0.94889988849777,0.94889988849777,,23.48396244332375,,,37.63065118749087,7.055049591136249e-05,,data_011.csv,FERVENT,PERFECT-MACKEREL,-23.06755713,130.9621378,567.6251221,ENGINE_1
6,2021-01-07,17.255760148654872,0.948894498900403,0.0,0.948894498900403,0.948894498900403,,17.255760148654872,,,54.624053804787074,7.00987542082206e-05,,data_011.csv,FERVENT,PERFECT-MACKEREL,-23.06755713,130.9621378,567.6251221,ENGINE_1
7,2021-01-08,18.28812134850888,0.948821346088408,978.5563918009713,1.4735759105054231,1.119307549243279,1294.798899166269,62.57418653808609,1029.0825080288057,808.396420262445,51.394162599958406,7.023945932259466e-05,5410.938820981861,data_011.csv,FERVENT,PERFECT-MACKEREL,-23.06755713,130.9621378,567.6251221,ENGINE_1
8,2021-01-09,25.22389105176534,0.9483013829017328,5880.739453839316,4.034103321201342,1.955884077954703,1323.361553118563,293.29108060443326,1055.294363565895,832.2389584476023,33.72396764398892,7.001030923517336e-05,5340.7937698086125,data_011.csv,FERVENT,PERFECT-MACKEREL,-23.06755713,130.9621378,567.6251221,ENGINE_1
9,2021-01-10,31.395949948116524,0.9485629546283472,5879.171711870661,3.942278501060173,1.9337750684916923,1363.0307105050656,302.155494274382,1092.2711661788005,866.31788475884,23.646898894781728,7.120854493297385e-05,5229.187255620186,data_011.csv,FERVENT,PERFECT-MACKEREL,-23.06755713,130.9621378,567.6251221,ENGINE_1
