date,POWER
1/1/2021,9705.879687547102
1/2/2021,9607.36980162346
1/3/2021,8900.727624976127
1/4/2021,8875.842225402735
1/5/2021,7983.986369320259
1/6/2021,0.0
1/7/2021,11746.612970395154
1/8/2021,16314.281537368157
1/9/2021,16181.143584198839
1/10/2021,16051.611297065896
1/11/2021,16107.690457992647
1/12/2021,16291.71882244169
1/13/2021,16360.038247337287
1/14/2021,16295.636133092388
1/15/2021,16211.938689051254
1/16/2021,16075.258996945933
1/17/2021,15996.032010549014
1/18/2021,16058.061719068917
1/19/2021,15957.85954073815
1/20/2021,15745.463525498119
1/21/2021,15560.072270784158
1/22/2021,15543.239022228716
1/23/2021,15533.8461778557
1/24/2021,15442.4890241628
1/25/2021,15486.73723213838
1/26/2021,15593.77961020917
1/27/2021,15584.523498800843
1/28/2021,15583.849600617732
1/29/2021,15545.65937327899
1/30/2021,15528.632567669636
1/31/2021,15502.62666808691
2/1/2021,15303.828479822278
2/2/2021,15240.522892924075
2/3/2021,15247.317810968001
2/4/2021,15184.802434060533
2/5/2021,15316.979704971453
2/6/2021,14768.31737512352
2/7/2021,0.0
2/8/2021,5400.293586703476
2/9/2021,0.0
2/10/2021,0.0
2/11/2021,0.0
2/12/2021,0.0
2/13/2021,0.0
2/14/2021,0.0
2/15/2021,0.0
2/16/2021,0.0
2/17/2021,0.0
2/18/2021,0.0
2/19/2021,0.0
2/20/2021,0.0
2/21/2021,0.0
2/22/2021,0.0
2/23/2021,0.0
2/24/2021,0.0
2/25/2021,10015.944769765578
2/26/2021,16219.969531035746
2/27/2021,15989.951833002326
2/28/2021,15746.588464889424
3/1/2021,15729.004960780981
3/2/2021,15864.714203987567
3/3/2021,15846.943357959972
3/4/2021,15926.636479463787
3/5/2021,15864.333305014505
3/6/2021,15912.10016713984
3/7/2021,16090.478086216932
3/8/2021,16143.260562092448
3/9/2021,16096.56447889838
3/10/2021,16076.170846002658
3/11/2021,15907.755787943586
3/12/2021,15946.737113149458
3/13/2021,16046.325768891913
3/14/2021,15954.965951569831
3/15/2021,13390.928976565285
3/16/2021,0.0
3/17/2021,0.0
3/18/2021,0.0
3/19/2021,0.0
3/20/2021,0.0
3/21/2021,0.0
3/22/2021,0.0
3/23/2021,14208.039846288179
3/24/2021,16180.65702793488
3/25/2021,16246.29240249116
3/26/2021,16207.852681885679
3/27/2021,15995.92280175254
3/28/2021,15983.480989842239
3/29/2021,16026.82267601946
3/30/2021,16007.699594243673
3/31/2021,15102.890509447901
4/1/2021,0.0
4/2/2021,0.0
4/3/2021,15975.68543510218
4/4/2021,15927.753427967546
4/5/2021,15951.969368739798
4/6/2021,15953.535582698962
4/7/2021,15988.784275544103
4/8/2021,15963.257829214184
4/9/2021,15807.455055333077
4/10/2021,14781.219994882353
4/11/2021,14855.642682110883
4/12/2021,15897.436000615146
4/13/2021,16032.19255245088
4/14/2021,16030.125576205452
4/15/2021,15986.714635669494
4/16/2021,16010.971418755875
4/17/2021,16071.212944218092
4/18/2021,16039.315984760618
4/19/2021,16143.702724536703
4/20/2021,16146.889312915071
4/21/2021,14489.572132706364
4/22/2021,7589.379028671678
4/23/2021,10085.194689122174
4/24/2021,0.0
4/25/2021,0.0
4/26/2021,0.0
4/27/2021,0.0
4/28/2021,0.0
4/29/2021,0.0
4/30/2021,0.0
5/1/2021,0.0
5/2/2021,0.0
5/3/2021,0.0
5/4/2021,0.0
5/5/2021,0.0
5/6/2021,0.0
5/7/2021,11378.09543364854
5/8/2021,16304.740417637327
5/9/2021,16229.019655120646
5/10/2021,16159.910020234314
5/11/2021,10086.379116231881
5/12/2021,0.0
5/13/2021,0.0
5/14/2021,0.0
5/15/2021,6058.070154187794
5/16/2021,8775.052272899087
5/17/2021,8838.706795220165
5/18/2021,5947.173060752088
